"Monaco Grand Prix","38.544914134742406"
"Austrian Grand Prix","35.53141167775314"
"Dutch Grand Prix","35.497393894266565"
"Hungarian Grand Prix","35.11741214057508"
"Canadian Grand Prix","34.9209726443769"
"Mexico City Grand Prix","34.917316692667704"
"Ṣo Paulo Grand Prix","34.30568079350766"
"Spanish Grand Prix","33.301829268292686"
"Singapore Grand Prix","30.797235023041473"
"Abu Dhabi Grand Prix","29.42610198789974"
"Miami Grand Prix","28.95079086115993"
"Australian Grand Prix","28.687936191425724"
"Qatar Grand Prix","28.521868787276343"
"Bahrain Grand Prix","27.900473933649288"
"United States Grand Prix","27.87475345167653"
"British Grand Prix","25.822680412371135"
"Italian Grand Prix","25.488935721812435"
"Azerbaijan Grand Prix","25.47034339229969"
"Las Vegas Grand Prix","25.2322375397667"
"Japanese Grand Prix","25.18409090909091"
"Saudi Arabian Grand Prix","24.855626326963908"
"Belgian Grand Prix","22.176470588235293"
